InvoiceNo,ExtractedText
283,"['To: Rajeev Mehra <rjm@amararaja.co.in>', 'Cc: Ramesh Babu P <prb@amararaja.co.in>; Dharish Babu K <kdb@amararaja.co.in>; Soma Sekhar P', '<smsp@amararaja.co.in>']"
284,['On 07.12.18 we will company 1 company Innova & 1 Private Innova (LVGH to ARGC to LVGH drop) at approximate j |']
285,"['Cc: Ramesh Babu P <prb@amararaja.co.in<mailto:prb@amararaja.co.in>>; Dharish Babu K', '<kdb@amararaja.co.in<mailto:kdb@amararaja.co.in>>; Soma Sekhar P', '<smsp @amararaja.co.in<mailto:smsp@amararaja.co.in>>', '<smsp @amararaja.co.in<mailto:smsp@amararaja.co.in>>', '1. 6th Dec’18 @ 7:30AM till 1OPM Tirupati-LVGH-ARGC-Tirupati-LVGH - Innova ( Bucket Seats)']"
286,"['| 2 |costcentrecode | 00005014', '20 |iDnumber | 1002706', '(23 |Inumber | 80000']"
287,"['TIRUPATI - 517520 TIRUPATI - 517520', 'CHITTOOR AP 517520 INDIA : CHITTOOR AP 517520 INDIA']"
288,[]
289,"[""3 | 1002000 | Bhaskar. P MVRLA- Formation ———|Operator-MVRLAFormation {wos |isau |areL Nunegundlapal |Fork Lit Operations |é-oct-18 |6-oct-18 |oct'8 |1 day - 7 it paw kumar | External Technical MVRLA- LH"", '| 35 |1007866 Naveen:A ABD Internal Logistics. Logistics lOperator -ABD-Internal Logistics Logistics wos |assu |ARBL|Head office Office Fork Lift Operations | Lift Operations 40ct-18 | 4-0ct-18 | ont 18 | ‘ey 7 1 | Ravi kumar External 4 Technical ~ Ise UH |', '| 35 |1007866 Naveen:A ABD Internal Logistics. Logistics lOperator -ABD-Internal Logistics Logistics wos |assu |ARBL|Head office Office Fork Lift Operations | Lift Operations 40ct-18 | 4-0ct-18 | ont 18 | ‘ey 7 1 | Ravi kumar External 4 Technical ~ Ise UH |', '| 35 |1007866 Naveen:A ABD Internal Logistics. Logistics lOperator -ABD-Internal Logistics Logistics wos |assu |ARBL|Head office Office Fork Lift Operations | Lift Operations 40ct-18 | 4-0ct-18 | ont 18 | ‘ey 7 1 | Ravi kumar External 4 Technical ~ Ise UH |']"
290,[]
291,"['To: Sekar J <sekarj@amararaja.co.in>', 'Cc: Visweswara Rao S <vrs@amararaja.co.in>']"
292,"['To: Sekar J <sekarj@amararaja.co.in>', 'Cc: Visweswara Rao S (vrs@amararaja.co.in) <vrs@amararaja.co.in>; Rekha D <dr@amararaja.co.in>; Hari Prasad T <hpt@amararaja.co.in>', 'Cc: Visweswara Rao S (vrs@amararaja.co.in) <vrs@amararaja.co.in>; Rekha D <dr@amararaja.co.in>; Hari Prasad T <hpt@amararaja.co.in>', 'Cc: Visweswara Rao S (vrs@amararaja.co.in) <vrs@amararaja.co.in>; Rekha D <dr@amararaja.co.in>; Hari Prasad T <hpt@amararaja.co.in>', 'Cc: Visweswara Rao S (vrs@amararaja.co.in) <vrs@amararaja.co.in>; Rekha D <dr@amararaja.co.in>; Hari Prasad T <hpt@amararaja.co.in>', 'Cc: Visweswara Rao S (vrs@amararaja.co.in) <vrs@amararaja.co.in>; Rekha D <dr@amararaja.co.in>; Hari Prasad T <hpt@amararaja.co.in>', 'Mr. Srikanth 14 & 15-Dec-18 | AR/Dec/082 38,000/-']"
293,"['Tirupathi- 517520 v \\ l 8 0 ARBL PO NO: 1100093952/07.12.18', 'Tirupathi- 517520 v \\ l 8 0 ARBL PO NO: 1100093952/07.12.18', '| Sulphuric Acid Batt.grade 1.825 28070010 13.60 Kg 39920 542912.00', 'CGST @ 9% Yo | 2 _ fui = sts 48862.08', 'Rupees: Six lakh fourty thousand six hundred thirty six and paise sixteen only. fea', 'IFS Code: HDFC0003975 Enikepadu Branch, IFS Code:ANDBO0001 192 Ramavarappadu circle Branch,']"
294,"['Tirupathi- 517520 ARBL PO NO: 1100093952/07. 12.18', 'Tirupathi- 517520 ARBL PO NO: 1100093952/07. 12.18', 'Sulphuric Acid Batt.grade 1.825 28070010 13.60 Kg 39920 542912.00', 'SGST @ 9% oi se ve a 48862.08', 'SGST @ 9% oi se ve a 48862.08', 'Rupees: Six lakh fourty thousand six hundred thirty six and paise sixteen only. Jarsiaex | |']"
295,"['| 3 5 B Block No.7, Plot No. 145, New Autonagar, KANURU, VIJAYAWADA, Krishna District', 'e-mail : ssbchemicals2008@gmail.com, Purchase@srisaibalajienterprises.com', 'Tirupathi - 517520 DATE 07.12.18']"
296,[]
297,"['Product Code 0001 Product Name 1.245% SULPHU!', 'Date In 30/12/2018 Time In 01:40:37 PM Gross Weight 52 980', 'Date Out 31/12/2018 Time Out 05:18:00 AM Tare Weight 12 900', 'Date Out 31/12/2018 Time Out 05:18:00 AM Tare Weight 12 900', 'Date Out 31/12/2018 Time Out 05:18:00 AM Tare Weight 12 900']"
298,"['6415 - BROWN LEAD CALCIUM ALLOY I] 04 48 BUNDLES of 42 Ingot', '6415 - BROWN LEAD CALCIUM ALLOY I] 04 48 BUNDLES of 42 Ingot', 'ORDER: 108069/10 DELIVERY : 8890859', 'EMAIL ID: CCV@AMARARAJA.CO.IN; IEC : 098806723 Nett Weight TONNES']"
299,"['ROAD TIRUPATI - 517520, ANDHRA Head Office: 4, quai d’Arenc - 13002 Marseille - France', 'ROAD TIRUPATI - 517520, ANDHRA Head Office: 4, quai d’Arenc - 13002 Marseille - France', '. PRADESH INDIA Tel: (33) 488.91 9000- Fax (33) 4 88 91 90 95', 'SRR SSeS See DS Sire teeta recede 2 Serie 5 re ee ot eae eS', 'SRR SSeS See DS Sire teeta recede 2 Serie 5 re ee ot eae eS', '55 VESSEL. Se | PORTOPRILDADING | in | PORT OFDISCHARGE.. - |. FINALPLACEOFDELNERY* si', 'CMAU1 403828 i x 20ST 24 BUNDLES 24777.000', 'FCIU3007610 1 x 20ST 24 BUNDLES 24293.000', ' comeneneaee 1 x 20ST 24 BUNDLES 23970 .000', 'TGHU3602143 1 x 20ST 24 BUNDLES 24787 .000', 'Nieraahrmsr-oertsinginmnsair th ppt se eae em deck of any vessel and in remittance of this bill of lading eee', 'PLACE ANDDATEOP ISSUE SIMELBOURNE _——10 EC 2019 _| SIGNED FOR THE GARRIEROMACGW SAN']"
300,"['ies ieee pe PEE eS ee ae: bene Sf Se eee eee yey ye ett Psa Sal 8 Co roy 2c"" OR = 5 peer a Bon ere * > - ee eNO et Go AAT Ae: |', 'ies ieee pe PEE eS ee ae: bene Sf Se eee eee yey ye ett Psa Sal 8 Co roy 2c"" OR = 5 peer a Bon ere * > - ee eNO et Go AAT Ae: |', 'SOONTAINER AND SEALS |™ OF P eA ES | tS M@Siypprcees mance eh 0 PRP pe es BPMIT AR eA a BAG p ho filha Sat et baie 2 ;', 'SOONTAINER AND SEALS |™ OF P eA ES | tS M@Siypprcees mance eh 0 PRP pe es BPMIT AR eA a BAG p ho filha Sat et baie 2 ;', 'efectos SE Ee a aE eT Eee tee poe ay Baar eee eso eit ee ns A sn ie a e e = t= 6 Oy eae PENS AA Sage eg) ee 3 apatite 2 To pews 1 Sa eT SF eat ey mae ee aa', 'efectos SE Ee a aE eT Eee tee poe ay Baar eee eso eit ee ns A sn ie a e e = t= 6 Oy eae PENS AA Sage eg) ee 3 apatite 2 To pews 1 Sa eT SF eat ey mae ee aa', 'efectos SE Ee a aE eT Eee tee poe ay Baar eee eso eit ee ns A sn ie a e e = t= 6 Oy eae PENS AA Sage eg) ee 3 apatite 2 To pews 1 Sa eT SF eat ey mae ee aa', 'EMAIL ID: CCV@AMARARAJA.CO.IN; IEC : 098806723', "": Z ' KK : SS FO I >, n Tt? ae PMN bay a NE WES FL Es et EEE rt EE 8 Ail gh em rae bag eie tree ay ee mene ee ae es"", ""' oI pesinalfecians o> petscne by Sy ae ecg eae) Date nie Se re een an Rie te Bie ete io thea"", ""' oI pesinalfecians o> petscne by Sy ae ecg eae) Date nie Se re een an Rie te Bie ete io thea"", 'ths se pS ee a tn']"
301,['7 — ; ae (eS']
302,"['Total weight 48.709 TESORREGRATE 7', 'EMAIL ID: CCV@AMARARAJA.CO.IN; IEC : 098806723', '8048511 - 42 0.373 0.974 TOTAL 2,016 48.709 48.757']"
303,"['TransactionID _—: 130764 RFID No ; 3540393', 'Date : 31.12.2018 Time : 10:32:18 G Chandriah']"
304,"['TransactionID ——_: 130764 RFID No : 3540393', 'Date : 31.12.2018 Time : 10:32:18 G Chandriah']"
305,"['| eWay Bill No: 1010 9317 4969 Generated Date:29/12/2018 07:27 PM Generated By: 37AAB CA926 4E1ZO Valid Upto: 31/12/2018', '| eWay Bill No: 1010 9317 4969 Generated Date:29/12/2018 07:27 PM Generated By: 37AAB CA926 4E1ZO Valid Upto: 31/12/2018', 'TESSINERPLATZ 7 survey no. 153/1', '| | 78019980 LEAD CALCIUMALLOY 24.75 mts 3858728.75 NA+NA+0.000+0.000+0.00', '| | 78019980 LEAD CALCIUMALLOY 24.75 mts 3858728.75 NA+NA+0.000+0.000+0.00', '| | 78019980 LEAD CALCIUMALLOY 24.75 mts 3858728.75 NA+NA+0.000+0.000+0.00', 'Tot. Tax’dle Aint 7 2858728.75 CGST Amt? 0.00 SGST Arnt 2 0.00 IGST Amt 70.00 CESS Amt %0.00 CESS Non.Advol Amt 70.00 —', 'Tot. Tax’dle Aint 7 2858728.75 CGST Amt? 0.00 SGST Arnt 2 0.00 IGST Amt 70.00 CESS Amt %0.00 CESS Non.Advol Amt 70.00 —', 'Tot. Tax’dle Aint 7 2858728.75 CGST Amt? 0.00 SGST Arnt 2 0.00 IGST Amt 70.00 CESS Amt %0.00 CESS Non.Advol Amt 70.00 —', 'Tot. Tax’dle Aint 7 2858728.75 CGST Amt? 0.00 SGST Arnt 2 0.00 IGST Amt 70.00 CESS Amt %0.00 CESS Non.Advol Amt 70.00 —', 'Tot. Tax’dle Aint 7 2858728.75 CGST Amt? 0.00 SGST Arnt 2 0.00 IGST Amt 70.00 CESS Amt %0.00 CESS Non.Advol Amt 70.00 —', 'Tot. Tax’dle Aint 7 2858728.75 CGST Amt? 0.00 SGST Arnt 2 0.00 IGST Amt 70.00 CESS Amt %0.00 CESS Non.Advol Amt 70.00 —', ""' Road TNOSAS2632 & 1322 & 31/12/2018 CHENNAI 31/12/2018 12:21 AM S3AAOFAG014A1Z3 - -"", '| Road TNOSAS2028 & 1322 & 2012/2018 SWITZERLAND AUSTRALIA 29/92/2018 07:27 PM 37AABCAG264E 1Z0 - -', '| Road TNOSAS2028 & 1322 & 2012/2018 SWITZERLAND AUSTRALIA 29/92/2018 07:27 PM 37AABCAG264E 1Z0 - -', '| Road TNOSAS2028 & 1322 & 2012/2018 SWITZERLAND AUSTRALIA 29/92/2018 07:27 PM 37AABCAG264E 1Z0 - -']"
306,"['—  BeROsBt. sec/Typ S444626/ 28122018 YNsR GO Ne. Dt /OPficer: 2031268335 / 28-12-2812 1B2 1477', 'Ciscount Rate: 6.66 Biscount Amount 9.89 “ies 4 O', 'Ciscount Rate: 6.66 Biscount Amount 9.89 “ies 4 O', '$9622. G2 7 .€35160 7ebTISIS 2.92 & &@.&3', 'Exim Notn ‘{GEEC} «=—6 @ LB F2SG1IS 1 BCh:@ CD: 98 a', 'Exim Notn ‘{GEEC} «=—6 @ LB F2SG1IS 1 BCh:@ CD: 98 a', 'BCH Fg 46362056 CVD Fg 1393591.36 . ie', 'KGS 7332552. 32 RGEALTSE 98 % @. fd', 'Rs. 7338553 . 38 EE Eross Total Rs. 9.89 ! 2 = :', 'OD Rs. 8.08 Sch 2 Spl Excise Duty Rs. 8.89 : i VV', 'OD Rs. 8.08 Sch 2 Spl Excise Duty Rs. 8.89 : i VV', 'cess Rs. 8.2 GSTA Ks. «9.08', 'Edu. fess QD ks. 6.06 Customs Edu. Cess Rs. 2.69 ‘ : os', 'Featth C0, Rs. 8.88 Adit Suty - (Imperts) fs. 2.08 en', 'SHE fess CUR Ge. 8.86 8 Cust Gite. Cees Ks. 4 68']"
307,"['Freight ; 6.e¢ SO6> ZUEICH', 'Discmet Rate: 6.06 Discount Amount 9.09 ‘', 'EAD : €. 6 SBE Buty 7G Int.: & £ ;', 'BCD cn, 4Q10435 46 CVO Fy 1384692. 40', 'BCD cn, 4Q10435 46 CVO Fy 1384692. 40', 'Sec & Bigher Edu. Cess on Cvb : 6 ogo % 9.09 fell', 'GST 6286/2615 1 2.92 © 9.30', 'EST fesse £81/2B37 55 6 BES 6.86 Ss', 'BCD ¥s. 6.66 4S Luty Rs. &.88 o', 'CVD Rs. 6.6 fct 2 Spl Excise Buty Ks. G.86 |', 'Edu. fess CVE Rs. 6.08 Custons Edu. Cess Rs. 9.09', 'Kealth CV¥D ts. 6.66 Adc. Duty - (imports) As. ; 3.ho']"
308,"['. SYASBCANZE4E1ZG = &/37 ANDHRA SRADE 15434535 Qj . 2639623 Fe', 'e £2 B24 3O1lb4975 §iG1SSS25 7291597 26 G eo ,', 'e £2 B24 3O1lb4975 §iG1SSS25 7291597 26 G eo ,', 'e £2 B24 3O1lb4975 §iG1SSS25 7291597 26 G eo ,', 'eceipt/fas way Keceipt numbers 37@ in accaraance with the abeve ve \\2', '; es I(1}(aitit. Rute GO{i}(a}{2i), Rule 1G (1) {a} Giiz} and = Rul 2639624 Es', '“Invoice Ne: 1 Item Ne : @ IKNNo | 2612122z600011532 Roc Cade + 321908', 'invoice Wo: Z Item No : 5 IRN No. : 2BIS12ZBONCLIGE ec Code : BEIOED', ', (Superintendent ) ont a art A OY, 4 )']"
309,"['Chennai, Tamil Nadu - 600041 Payment Term °60 days from Date of Invoice', 'Tel :04424493550, Due-date 22.02.2019', "": r |PO No Ref '1100093538"", 'Customer Code :0010108450 Customer Code :0010108450 !', 'Tirupati, Andra Pradesh(37) - 517520 Tirupati, Andra Pradesh(37) - 517520', 'iy 137-501-00013 EA 150,000}0.32/1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', 'iy 137-501-00013 EA 150,000}0.32/1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', 'iy 137-501-00013 EA 150,000}0.32/1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', 'AS 137-501-00332 EA 40,000] 1.25/1 EA 50,000.00 50,000.00 | 18.00 9,000.00 59,000.00', 'AS 137-501-00332 EA 40,000] 1.25/1 EA 50,000.00 50,000.00 | 18.00 9,000.00 59,000.00', '137-501-00622 EA|_—  2,000/6.80/1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '137-501-00622 EA|_—  2,000/6.80/1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00']"
310,"['iy 137-501-00800 EA Ya 3,000}5.18/1 EA 15,540.00 15,540.00 | 18.00 2,797.20 18,337.20', 'iy 137-501-00800 EA Ya 3,000}5.18/1 EA 15,540.00 15,540.00 | 18.00 2,797.20 18,337.20', 'B/| 137-501-01037 EA — 2,000|1.60/1 EA 3,200.00 3,200.00 | 18.00 576.00 3,776.00', 'B/| 137-501-01037 EA — 2,000|1.60/1 EA 3,200.00 3,200.00 | 18.00 576.00 3,776.00', 'B/| 137-501-01037 EA — 2,000|1.60/1 EA 3,200.00 3,200.00 | 18.00 576.00 3,776.00', 'iy 137-501-02067 EA Wo 2,000] 1.35/1 EA 2,700.00 2,700.00 | 18.00 486.00 3,186.00', 'iy 137-501-02067 EA Wo 2,000] 1.35/1 EA 2,700.00 2,700.00 | 18.00 486.00 3,186.00', 'iy 137-501-02067 EA Wo 2,000] 1.35/1 EA 2,700.00 2,700.00 | 18.00 486.00 3,186.00', 'iy 137-501-02067 EA Wo 2,000] 1.35/1 EA 2,700.00 2,700.00 | 18.00 486.00 3,186.00', '6| 137-502-00127 BL EA al 2,000|4.00/1 EA 8,000.00 8,000.00 | 18.00 1,440.00 9,440.00', '6| 137-502-00127 BL EA al 2,000|4.00/1 EA 8,000.00 8,000.00 | 18.00 1,440.00 9,440.00', '6| 137-502-00127 BL EA al 2,000|4.00/1 EA 8,000.00 8,000.00 | 18.00 1,440.00 9,440.00', 'iy 137-502-00130 AC EA 1,700|6.80/1 EA 11,560.00 11,560.00} 18.00 2,080.80 13,640.80', 'iy 137-502-00130 AC EA 1,700|6.80/1 EA 11,560.00 11,560.00} 18.00 2,080.80 13,640.80', '""y 137-502-00207 SNI - = 0.60/1 EA 3,000.00 3,000.00 540.00 3,540.00', '3] 137-501-01012 EA |b~ 2,000} 1.34/1 EA 2,680.00 2,680.00} 18.00 482.40 3,162.40', '3] 137-501-01012 EA |b~ 2,000} 1.34/1 EA 2,680.00 2,680.00} 18.00 482.40 3,162.40', 'Eo Grand Total ee 282,700.00 Eonar 254,180.00 fc eae 254,180.00 aes 45,752.40 299,932.40', 'Eo Grand Total ee 282,700.00 Eonar 254,180.00 fc eae 254,180.00 aes 45,752.40 299,932.40', 'Eo Grand Total ee 282,700.00 Eonar 254,180.00 fc eae 254,180.00 aes 45,752.40 299,932.40', 'Eo Grand Total ee 282,700.00 Eonar 254,180.00 fc eae 254,180.00 aes 45,752.40 299,932.40']"
311,"['e, ef wih S00 tte >» |']"
312,"['Chennai, Tamil Nadu - 600041 Payment Term ‘60 days from Date of Invoice', 'Tel :04424493550, Due-date °22.02.2019', 'Customer Code :0010108450 Customer Code :0010108450', 'Tirupati, Andra Pradesh(37) - 517520 Tirupati, Andra Pradesh(37) - 517520', '1 | 137-501-00013 EA 150,000|0.32/1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', '1 | 137-501-00013 EA 150,000|0.32/1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', '1 | 137-501-00013 EA 150,000|0.32/1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', '1 | 137-501-00013 EA 150,000|0.32/1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', '2 | 137-501-00029 EA 20,000} 0.32 /1 EA 6,400.00 6,400.00 | 18.00 1,152.00 7,552.00', '2 | 137-501-00029 EA 20,000} 0.32 /1 EA 6,400.00 6,400.00 | 18.00 1,152.00 7,552.00', '2 | 137-501-00029 EA 20,000} 0.32 /1 EA 6,400.00 6,400.00 | 18.00 1,152.00 7,552.00', '3 | 137-501-00332 EA 40,000] 1.25/1 EA 50,000.00 50,000.00 | 18.00 9,000.00 59,000.00', '3 | 137-501-00332 EA 40,000] 1.25/1 EA 50,000.00 50,000.00 | 18.00 9,000.00 59,000.00', '5 | 137-501-00622 EA 2,000] 6.80 /1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '5 | 137-501-00622 EA 2,000] 6.80 /1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '5 | 137-501-00622 EA 2,000] 6.80 /1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '137-501-00643 TOP | EA 3,000}9.00/1 EA 27,000.00 27,000.00] 18.00 4,860.00 31,860.00', '137-501-00643 TOP | EA 3,000}9.00/1 EA 27,000.00 27,000.00] 18.00 4,860.00 31,860.00']"
313,"['| [Grand total | | __282,700.00] S| __ 284,180.00] S| _—254,180.00| | 45,752.40| 299,992.40', '| [Grand total | | __282,700.00] S| __ 284,180.00] S| _—254,180.00| | 45,752.40| 299,992.40', '| [Grand total | | __282,700.00] S| __ 284,180.00] S| _—254,180.00| | 45,752.40| 299,992.40']"
314,"['Chennai, Tamil Nadu - 600041 Payment Term ‘60 days from Date of Invoice', 'Tel :04424493550, Due-date °22.02.2019', 'Customer Code :0010108450 Customer Code :0010108450', 'Tirupati, Andra Pradesh(37) - 517520 Tirupati, Andra Pradesh(37) - 517520', '1 | 137-501-00013 EA 150,000} 0.32 /1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', '1 | 137-501-00013 EA 150,000} 0.32 /1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', '1 | 137-501-00013 EA 150,000} 0.32 /1 EA 48,000.00 48,000.00 | 18.00 8,640.00 56,640.00', '2 | 137-501-00029 EA 20,000} 0.32 /1 EA 6,400.00 6,400.00} 18.00 1,152.00 7,552.00', '2 | 137-501-00029 EA 20,000} 0.32 /1 EA 6,400.00 6,400.00} 18.00 1,152.00 7,552.00', '3 | 137-501-00332 EA 40,000] 1.25/1 EA 50,000.00 50,000.00} 18.00 9,000.00 59,000.00', '3 | 137-501-00332 EA 40,000] 1.25/1 EA 50,000.00 50,000.00} 18.00 9,000.00 59,000.00', '5 | 137-501-00622 EA 2,000|6.80/1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '5 | 137-501-00622 EA 2,000|6.80/1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '5 | 137-501-00622 EA 2,000|6.80/1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '5 | 137-501-00622 EA 2,000|6.80/1 EA 13,600.00 13,600.00 | 18.00 2,448.00 16,048.00', '137-501-00643 TOP | EA 3,000}9.00/1 EA 27,000.00 27,000.00 | 18.00 4,860.00 31,860.00', '137-501-00643 TOP | EA 3,000}9.00/1 EA 27,000.00 27,000.00 | 18.00 4,860.00 31,860.00', '137-501-00643 TOP | EA 3,000}9.00/1 EA 27,000.00 27,000.00 | 18.00 4,860.00 31,860.00']"
315,"['| |GrandTotal | | 282,700.00] S| — 254,180.00] S| 254,180.00] —|_—4s,752.40| 299,932.40', '| |GrandTotal | | 282,700.00] S| — 254,180.00] S| 254,180.00] —|_—4s,752.40| 299,932.40']"
316,"['D.No:6-67-13/1,Flat No:401, Sri Surya Complex, 189 26-Oct-2018 ee', '‘Amararaja Batteries LTD. SBD-II 1100089472, si 23-Aug-2018”', '| Small Battery Division Unit-ll 24 eb 23 —', '| 1 | 210-021-00360 85444210 | 18% 3 NOS/| 4,200.00; NOS 12,600.00.', '| 1 | 210-021-00360 85444210 | 18% 3 NOS/| 4,200.00; NOS 12,600.00.', '| 1 | 210-021-00360 85444210 | 18% 3 NOS/| 4,200.00; NOS 12,600.00.', '2 210-021-00361 84716050 | 18% 2 NOS | 4,350.00 | NOS | 8,700.00', '2 210-021-00361 84716050 | 18% 2 NOS | 4,350.00 | NOS | 8,700.00', '/3 210-021-00362 (84716050 | 18%) 3 NOS) 5,500.00! NOS 16,500.00', '/3 210-021-00362 (84716050 | 18%) 3 NOS) 5,500.00! NOS 16,500.00', '/3 210-021-00362 (84716050 | 18%) 3 NOS) 5,500.00! NOS 16,500.00']"
317,"['D.No:6-67-1 3/1,Flat No:401, Sri Surya Complex, 189 26-Oct-2018 .', 'LGSTIN/DIN: S7AGRFSS2O7 NAZI 30 Days Credit From the Date of Invoice', '1. 210-021-00360 85444210 | 18% 3 NOS) 4,200.00) NOS 12,600.00', '1. 210-021-00360 85444210 | 18% 3 NOS) 4,200.00) NOS 12,600.00', '1. 210-021-00360 85444210 | 18% 3 NOS) 4,200.00) NOS 12,600.00', '3 210-021-00362 84716050 , 18%, 3NOS_ 5,500.00) NOS 16,500.00', '‘4 210-021-00364 85444210 | 18% 2NOS)| 2,400.00| NOS 4,800.00', '‘4 210-021-00364 85444210 | 18% 2NOS)| 2,400.00| NOS 4,800.00', 'Le | 10NOS| |__| 50,268.00', '| Total, 42,600.00; | 3,834.00; | 3,834.00 7,668.00', '| Total, 42,600.00; | 3,834.00; | 3,834.00 7,668.00']"
318,"['/D.No:6-67-13/1,Flat No:401, Sri Surya Complex, 189 oe _ |26-Oct-2018 | a', 'IGSTIN/UIR N: S7AGR FSSs207N 4Z\\ ___| 30 Days Credit From the Date of Invoice', '1 | 210-021-00360 85444210 | 18%) 3NOS  4,200.00|NOS 12,600.00', '1 | 210-021-00360 85444210 | 18%) 3NOS  4,200.00|NOS 12,600.00', '2 |210-021-00361 84716050 | 18%) 2NOS| 4,350.00|NOS 8,700.00', '3  210-021-00362 84716050 | 18% 3. NOS| 5,500.00}NOS 16,500.00', '3  210-021-00362 84716050 | 18% 3. NOS| 5,500.00}NOS 16,500.00', '4, 210-021-00364 (85444210 18%, 2NOS, 2,400.00 NOS. 4,800.00', '85444210 17,400.00 9% | 1,566.00 1,566.00 3,132.00']"
319,['| 31 ocT ae |']
320,"['1 BLACK PAINT (HSN:3208) 50 Lt 207.00; Lt 10,350.00', '1 BLACK PAINT (HSN:3208) 50 Lt 207.00; Lt 10,350.00', 'zc DEEP ORANGE PAINT (HSN:3208) 20 Lt 230.00; Lt 4,600.00', 'zc DEEP ORANGE PAINT (HSN:3208) 20 Lt 230.00; Lt 4,600.00', '3 GOLDEN YELLOW PAINT (HSN:3208) 60 Lt 236.00| Lt 14,160.00', '3 GOLDEN YELLOW PAINT (HSN:3208) 60 Lt 236.00| Lt 14,160.00', '4 SMOKE GREY ENAMEL PAINT (HSN:3208) 40 Lt 206.00; Lt 8,240.00', '4 SMOKE GREY ENAMEL PAINT (HSN:3208) 40 Lt 206.00; Lt 8,240.00', '5 WHITE PAINT (HSN:3208) 40 Lt 235.00; Lt 9,400.00', '5 WHITE PAINT (HSN:3208) 40 Lt 235.00; Lt 9,400.00', '_ —He 000 00 Totall 210Lt | ¥ 55,165.00']"
321,['| ; \\ te? Es ee 7 EE BL Bar gous de Sho ad P of | 3']
322,"['D.NO:20-3-124/C6 549 99-Nov-2018', '1 BLACK PAINT (HSN:3208) 50 Lt 207.00; Lt 10,350.00', '1 BLACK PAINT (HSN:3208) 50 Lt 207.00; Lt 10,350.00', 'Z DEEP ORANGE PAINT (HSN:3208) 20 Lt 230.00; Lt 4,600.00', 'Z DEEP ORANGE PAINT (HSN:3208) 20 Lt 230.00; Lt 4,600.00', '3 GOLDEN YELLOW PAINT (HSN:3208) 60 Lt 236.00; Lt 14,160.00', '3 GOLDEN YELLOW PAINT (HSN:3208) 60 Lt 236.00; Lt 14,160.00', '4 SMOKE GREY ENAMEL PAINT (HSN:3208) 40 Lt 206.00; Lt 8,240.00', '4 SMOKE GREY ENAMEL PAINT (HSN:3208) 40 Lt 206.00; Lt 8,240.00', '5 WHITE PAINT (HSN:3208) 40 Lt 235.00; Lt 9,400.00', '5 WHITE PAINT (HSN:3208) 40 Lt 235.00; Lt 9,400.00']"
323,[]
324,"['(UNDER SECTION 31 OF THE CENTRAL GOODS & SERVICE TAX ACT 2017)', 'PO No. : 1100091483 Invoice No. : 18-19/RJ/622', 'CHITTOOR - 5174165, CHITTOOR - 517438,', 'GSTIN : 37AABCA9264E1ZO GSTIN : 37AABCA9264E1ZO', '1. | Additive Alloying Elements-J W 7801 916.367) Kgs. 504.19 4,62,027.00', 'Taxes in Words : Rupee Eighty Three Thousand One Hundred Sixty Four and Paisa Eighty Six Only', '| Vehicle No. : RJ 40GB 0788 No. of Pieces : -1118-Pcs', '""CERTIFIED THAT PERTICULARS GIVEN ABOVE ARE TRUE & CORRECT"" 7 carne : 7', '4,Interest @ 24% p.a. will be charged if not paid within 15 days (4 a']"
325,"['PO NO & Date 1100091481 | Date 08.10.2018', 'Invoice No. 18-19/ RJ/622 Date ! 25.10.2018 |']"
326,"['Challan Number 621/622 Challan Date 25/10/2018 Challan Weight 2 82 010 kg', 'Challan Number 621/622 Challan Date 25/10/2018 Challan Weight 2 82 010 kg', 'Challan Number 621/622 Challan Date 25/10/2018 Challan Weight 2 82 010 kg', 'Date In 31/10/2018 Time In 11:19:20 AM Gross Weight 39600 kg', 'Date In 31/10/2018 Time In 11:19:20 AM Gross Weight 39600 kg', '| Date Out 31/10/2018 Time Out 03:55:08 PM Tare Weight 12340 kg']"
327,[]
328,"['3 Ssesg 3 ""3']"
